#bfield(Gauss)	a12	a13	a23(a0)
94	-84.5	-563.8	-109.5
95	-85.9	-566.6	-111.6
96	-87.4	-569.3	-113.8
97	-88.8	-572.1	-115.9
98	-90.3	-574.8	-118.0
99	-91.7	-577.6	-120.2
100	-93.2	-580.3	-122.4
101	-94.6	-583.0	-124.5
102	-96.1	-585.7	-126.7
103	-97.5	-588.4	-128.9
104	-99.0	-591.1	-131.0
105	-100.4	-593.8	-133.2
106	-101.9	-596.5	-135.4
107	-103.3	-599.2	-137.6
108	-104.8	-601.8	-139.8
109	-106.2	-604.5	-142.0
110	-107.7	-607.1	-144.2
111	-109.1	-609.8	-146.3
112	-110.6	-612.4	-148.5
113	-112.0	-615.0	-150.7
114	-113.5	-617.7	-152.9
115	-115.0	-620.3	-155.1
116	-116.4	-622.9	-157.3
117	-117.9	-625.4	-159.5
118	-119.3	-628.0	-161.7
119	-120.7	-630.6	-163.9
120	-122.2	-633.1	-166.1
121	-123.6	-635.7	-168.3
122	-125.1	-638.2	-170.5
123	-126.5	-640.7	-172.7
124	-128.0	-643.3	-174.9
125	-129.4	-645.8	-177.0
126	-130.8	-648.2	-179.2
127	-132.3	-650.7	-181.4
128	-133.7	-653.2	-183.6
129	-135.1	-655.6	-185.8
130	-136.5	-658.1	-188.0
131	-137.9	-660.5	-190.1
132	-139.4	-662.9	-192.3
133	-140.8	-665.4	-194.5
134	-142.2	-667.7	-196.6
135	-143.6	-670.1	-198.8
136	-145.0	-672.5	-201.0
137	-146.4	-674.9	-203.1
138	-147.8	-677.2	-205.3
139	-149.2	-679.6	-207.4
140	-150.6	-681.9	-209.6
141	-152.0	-684.2	-211.7
142	-153.3	-686.5	-213.8
143	-154.7	-688.8	-216.0
144	-156.1	-691.1	-218.1
145	-157.4	-693.3	-220.2
146	-158.8	-695.6	-222.3
147	-160.2	-697.8	-224.5
148	-161.5	-700.0	-226.6
149	-162.9	-702.3	-228.7
150	-164.2	-704.5	-230.8
151	-165.6	-706.6	-232.9
152	-166.9	-708.8	-235.0
153	-168.2	-711.0	-237.0
154	-169.5	-713.1	-239.1
155	-170.9	-715.3	-241.2
156	-172.2	-717.4	-243.2
157	-173.5	-719.5	-245.3
158	-174.8	-721.6	-247.4
159	-176.1	-723.7	-249.4
160	-177.4	-725.8	-251.4
161	-178.7	-727.8	-253.5
162	-180.0	-729.9	-255.5
163	-181.2	-731.9	-257.5
164	-182.5	-733.9	-259.5
165	-183.8	-735.9	-261.5
166	-185.0	-737.9	-263.6
167	-186.3	-739.9	-265.5
168	-187.5	-741.9	-267.5
169	-188.8	-743.8	-269.5
170	-190.0	-745.8	-271.5
171	-191.2	-747.7	-273.4
172	-192.5	-749.6	-275.4
173	-193.7	-751.5	-277.4
174	-194.9	-753.4	-279.3
175	-196.1	-755.3	-281.2
176	-197.3	-757.2	-283.2
177	-198.5	-759.0	-285.1
178	-199.7	-760.9	-287.0
179	-200.9	-762.7	-288.9
180	-202.0	-764.5	-290.8
181	-203.2	-766.3	-292.7
182	-204.4	-768.1	-294.6
183	-205.5	-769.8	-296.4
184	-206.7	-771.6	-298.3
185	-207.8	-773.3	-300.2
186	-209.0	-775.1	-302.0
187	-210.1	-776.8	-303.9
188	-211.2	-778.5	-305.7
189	-212.3	-780.2	-307.5
190	-213.4	-781.9	-309.3
191	-214.5	-783.5	-311.1
192	-215.6	-785.2	-312.9
193	-216.7	-786.8	-314.7
194	-217.8	-788.5	-316.5
195	-218.9	-790.1	-318.3
196	-220.0	-791.7	-320.1
197	-221.0	-793.3	-321.8
198	-222.1	-794.9	-323.6
199	-223.1	-796.4	-325.3
200	-224.2	-798.0	-327.0
201	-225.2	-799.5	-328.8
202	-226.2	-801.0	-330.5
203	-227.2	-802.5	-332.2
204	-228.2	-804.0	-333.9
205	-229.3	-805.5	-335.6
206	-230.2	-807.0	-337.2
207	-231.2	-808.4	-338.9
208	-232.2	-809.9	-340.6
209	-233.2	-811.3	-342.2
210	-234.2	-812.7	-343.8
211	-235.1	-814.2	-345.5
212	-236.1	-815.5	-347.1
213	-237.0	-816.9	-348.7
214	-238.0	-818.3	-350.3
215	-238.9	-819.7	-351.9
216	-239.8	-821.0	-353.5
217	-240.7	-822.3	-355.1
218	-241.6	-823.6	-356.6
219	-242.5	-824.9	-358.2
220	-243.4	-826.2	-359.7
221	-244.3	-827.5	-361.3
222	-245.2	-828.8	-362.8
223	-246.1	-830.0	-364.3
224	-246.9	-831.3	-365.8
225	-247.8	-832.5	-367.3
226	-248.6	-833.7	-368.8
227	-249.5	-834.9	-370.3
228	-250.3	-836.1	-371.8
229	-251.1	-837.3	-373.2
230	-251.9	-838.4	-374.7
231	-252.7	-839.6	-376.1
232	-253.5	-840.7	-377.6
233	-254.3	-841.8	-379.0
234	-255.1	-843.0	-380.4
235	-255.9	-844.0	-381.8
236	-256.7	-845.1	-383.2
237	-257.4	-846.2	-384.6
238	-258.2	-847.3	-386.0
239	-258.9	-848.3	-387.3
240	-259.6	-849.3	-388.7
241	-260.4	-850.4	-390.0
242	-261.1	-851.4	-391.4
243	-261.8	-852.4	-392.7
244	-262.5	-853.4	-394.0
245	-263.2	-854.3	-395.3
246	-263.9	-855.3	-396.6
247	-264.6	-856.2	-397.9
248	-265.2	-857.2	-399.2
249	-265.9	-858.1	-400.4
250	-266.5	-859.0	-401.7
251	-267.2	-859.9	-402.9
252	-267.8	-860.8	-404.2
253	-268.4	-861.6	-405.4
254	-269.1	-862.5	-406.6
255	-269.7	-863.3	-407.8
256	-270.3	-864.2	-409.0
257	-270.9	-865.0	-410.2
258	-271.5	-865.8	-411.3
259	-272.0	-866.6	-412.5
260	-272.6	-867.4	-413.7
261	-273.2	-868.1	-414.8
262	-273.7	-868.9	-415.9
263	-274.3	-869.6	-417.1
264	-274.8	-870.4	-418.2
265	-275.3	-871.1	-419.3
266	-275.8	-871.8	-420.4
267	-276.3	-872.5	-421.4
268	-276.8	-873.1	-422.5
269	-277.3	-873.8	-423.6
270	-277.8	-874.5	-424.6
271	-278.3	-875.1	-425.7
272	-278.8	-875.7	-426.7
273	-279.2	-876.3	-427.7
274	-279.7	-876.9	-428.7
275	-280.1	-877.5	-429.7
276	-280.5	-878.1	-430.7
277	-280.9	-878.7	-431.7
278	-281.4	-879.2	-432.7
279	-281.8	-879.8	-433.6
280	-282.2	-880.3	-434.6
281	-282.5	-880.8	-435.5
282	-282.9	-881.3	-436.4
283	-283.3	-881.8	-437.3
284	-283.6	-882.2	-438.2
285	-284.0	-882.7	-439.1
286	-284.3	-883.2	-440.0
287	-284.7	-883.6	-440.9
288	-285.0	-884.0	-441.8
289	-285.3	-884.4	-442.6
290	-285.6	-884.8	-443.4
291	-285.9	-885.2	-444.3
292	-286.2	-885.6	-445.1
293	-286.4	-885.9	-445.9
294	-286.7	-886.3	-446.7
295	-287.0	-886.6	-447.5
296	-287.2	-886.9	-448.3
297	-287.5	-887.2	-449.0
298	-287.7	-887.5	-449.8
299	-287.9	-887.8	-450.5
300	-288.1	-888.0	-451.3
301	-288.3	-888.3	-452.0
302	-288.5	-888.5	-452.7
303	-288.7	-888.8	-453.4
304	-288.9	-889.0	-454.1
305	-289.0	-889.2	-454.8
306	-289.2	-889.4	-455.4
307	-289.3	-889.5	-456.1
308	-289.4	-889.7	-456.7
309	-289.6	-889.8	-457.4
310	-289.7	-890.0	-458.0
311	-289.8	-890.1	-458.6
312	-289.9	-890.2	-459.2
313	-290.0	-890.3	-459.8
314	-290.0	-890.3	-460.4
315	-290.1	-890.4	-461.0
316	-290.2	-890.5	-461.5
317	-290.2	-890.5	-462.1
318	-290.3	-890.5	-462.6
319	-290.3	-890.5	-463.1
320	-290.3	-890.5	-463.7
321	-290.3	-890.5	-464.2
322	-290.3	-890.5	-464.7
323	-290.3	-890.4	-465.1
324	-290.3	-890.3	-465.6
325	-290.2	-890.3	-466.1
326	-290.2	-890.2	-466.5
327	-290.1	-890.1	-467.0
328	-290.1	-890.0	-467.4
329	-290.0	-889.8	-467.8
330	-289.9	-889.7	-468.2
331	-289.8	-889.5	-468.6
332	-289.7	-889.3	-469.0
333	-289.6	-889.2	-469.3
334	-289.5	-889.0	-469.7
335	-289.3	-888.7	-470.0
336	-289.2	-888.5	-470.4
337	-289.0	-888.3	-470.7
338	-288.9	-888.0	-471.0
339	-288.7	-887.7	-471.3
340	-288.5	-887.4	-471.6
341	-288.3	-887.1	-471.9
342	-288.1	-886.8	-472.2
343	-287.9	-886.5	-472.4
344	-287.6	-886.1	-472.6
345	-287.4	-885.7	-472.9
346	-287.1	-885.4	-473.1
347	-286.9	-885.0	-473.3
348	-286.6	-884.6	-473.5
349	-286.3	-884.1	-473.7
350	-286.0	-883.7	-473.9
351	-285.7	-883.2	-474.0
352	-285.4	-882.8	-474.2
353	-285.1	-882.3	-474.3
354	-284.7	-881.8	-474.4
355	-284.4	-881.2	-474.5
356	-284.0	-880.7	-474.6
357	-283.6	-880.1	-474.7
358	-283.3	-879.6	-474.8
359	-282.9	-879.0	-474.9
360	-282.5	-878.4	-474.9
361	-282.0	-877.8	-475.0
362	-281.6	-877.1	-475.0
363	-281.2	-876.5	-475.0
364	-280.7	-875.8	-475.0
365	-280.2	-875.1	-475.0
366	-279.8	-874.4	-475.0
367	-279.3	-873.7	-475.0
368	-278.8	-873.0	-474.9
369	-278.3	-872.2	-474.9
370	-277.8	-871.5	-474.8
371	-277.2	-870.7	-474.7
372	-276.7	-869.9	-474.6
373	-276.1	-869.1	-474.5
374	-275.5	-868.2	-474.4
375	-275.0	-867.4	-474.3
376	-274.4	-866.5	-474.1
377	-273.8	-865.6	-473.9
378	-273.1	-864.7	-473.8
379	-272.5	-863.8	-473.6
380	-271.9	-862.9	-473.4
381	-271.2	-861.9	-473.2
382	-270.5	-860.9	-473.0
383	-269.9	-859.9	-472.7
384	-269.2	-858.9	-472.5
385	-268.5	-857.9	-472.2
386	-267.8	-856.8	-471.9
387	-267.0	-855.7	-471.7
388	-266.3	-854.7	-471.4
389	-265.5	-853.5	-471.0
390	-264.8	-852.4	-470.7
391	-264.0	-851.3	-470.4
392	-263.2	-850.1	-470.0
393	-262.4	-848.9	-469.7
394	-261.6	-847.7	-469.3
395	-260.7	-846.5	-468.9
396	-259.9	-845.2	-468.5
397	-259.0	-844.0	-468.1
398	-258.2	-842.7	-467.6
399	-257.3	-841.4	-467.2
400	-256.4	-840.0	-466.7
401	-255.5	-838.7	-466.2
402	-254.5	-837.3	-465.7
403	-253.6	-835.9	-465.2
404	-252.6	-834.5	-464.7
405	-251.7	-833.1	-464.2
406	-250.7	-831.6	-463.6
407	-249.7	-830.1	-463.1
408	-248.7	-828.6	-462.5
409	-247.7	-827.1	-461.9
410	-246.6	-825.6	-461.3
411	-245.6	-824.0	-460.7
412	-244.5	-822.4	-460.1
413	-243.4	-820.8	-459.4
414	-242.4	-819.1	-458.8
415	-241.2	-817.5	-458.1
416	-240.1	-815.8	-457.4
417	-239.0	-814.1	-456.7
418	-237.8	-812.4	-456.0
419	-236.7	-810.6	-455.2
420	-235.5	-808.8	-454.5
421	-234.3	-807.0	-453.7
422	-233.1	-805.2	-452.9
423	-231.9	-803.3	-452.1
424	-230.6	-801.4	-451.3
425	-229.4	-799.5	-450.5
426	-228.1	-797.6	-449.6
427	-226.8	-795.6	-448.8
428	-225.5	-793.7	-447.9
429	-224.2	-791.7	-447.0
430	-222.9	-789.6	-446.1
431	-221.5	-787.6	-445.2
432	-220.2	-785.5	-444.3
433	-218.8	-783.3	-443.3
434	-217.4	-781.2	-442.3
435	-216.0	-779.0	-441.4
436	-214.5	-776.8	-440.4
437	-213.1	-774.6	-439.3
438	-211.6	-772.3	-438.3
439	-210.2	-770.0	-437.2
440	-208.7	-767.7	-436.2
441	-207.2	-765.4	-435.1
442	-205.6	-763.0	-434.0
443	-204.1	-760.6	-432.9
444	-202.5	-758.1	-431.7
445	-201.0	-755.7	-430.6
446	-199.4	-753.2	-429.4
447	-197.8	-750.6	-428.2
448	-196.1	-748.1	-427.0
449	-194.5	-745.5	-425.8
450	-192.8	-742.8	-424.6
451	-191.1	-740.2	-423.3
452	-189.4	-737.5	-422.0
453	-187.7	-734.7	-420.7
454	-186.0	-732.0	-419.4
455	-184.2	-729.2	-418.1
456	-182.5	-726.3	-416.7
457	-180.7	-723.5	-415.4
458	-178.9	-720.6	-414.0
459	-177.1	-717.6	-412.6
460	-175.2	-714.6	-411.2
461	-173.4	-711.6	-409.7
462	-171.5	-708.6	-408.3
463	-169.6	-705.5	-406.8
464	-167.6	-702.4	-405.3
465	-165.7	-699.2	-403.8
466	-163.8	-696.0	-402.2
467	-161.8	-692.7	-400.7
468	-159.8	-689.4	-399.1
469	-157.8	-686.1	-397.5
470	-155.7	-682.7	-395.9
471	-153.7	-679.3	-394.3
472	-151.6	-675.9	-392.6
473	-149.5	-672.4	-390.9
474	-147.4	-668.8	-389.2
475	-145.2	-665.3	-387.5
476	-143.1	-661.6	-385.8
477	-140.9	-657.9	-384.0
478	-138.7	-654.2	-382.2
479	-136.5	-650.5	-380.4
480	-134.2	-646.6	-378.6
481	-132.0	-642.8	-376.8
482	-129.7	-638.9	-374.9
483	-127.4	-634.9	-373.0
484	-125.0	-630.9	-371.1
485	-122.7	-626.9	-369.2
486	-120.3	-622.8	-367.2
487	-117.9	-618.6	-365.2
488	-115.5	-614.4	-363.2
489	-113.0	-610.1	-361.2
490	-110.6	-605.8	-359.1
491	-108.1	-601.4	-357.1
492	-105.5	-597.0	-355.0
493	-103.0	-592.5	-352.9
494	-100.4	-588.0	-350.7
495	-97.9	-583.4	-348.6
496	-95.3	-578.7	-346.4
497	-92.6	-574.0	-344.2
498	-90.0	-569.2	-341.9
499	-87.3	-564.4	-339.7
500	-84.6	-559.5	-337.4
501	-81.8	-554.5	-335.1
502	-79.1	-549.5	-332.7
503	-76.3	-544.4	-330.3
504	-73.5	-539.3	-328.0
505	-70.6	-534.0	-325.5
506	-67.8	-528.7	-323.1
507	-64.9	-523.4	-320.6
508	-62.0	-517.9	-318.1
509	-59.0	-512.4	-315.6
510	-56.1	-506.9	-313.1
511	-53.1	-501.2	-310.5
512	-50.0	-495.5	-307.9
513	-47.0	-489.7	-305.3
514	-43.9	-483.8	-302.6
515	-40.8	-477.9	-299.9
516	-37.7	-471.8	-297.2
517	-34.5	-465.7	-294.4
518	-31.3	-459.5	-291.7
519	-28.1	-453.2	-288.9
520	-24.8	-446.9	-286.0
521	-21.5	-440.4	-283.2
522	-18.2	-433.9	-280.3
523	-14.8	-427.2	-277.3
524	-11.5	-420.5	-274.4
525	-8.0	-413.7	-271.4
526	-4.6	-406.8	-268.4
527	-1.1	-399.8	-265.3
528	2.4	-392.7	-262.3
529	5.9	-385.5	-259.2
530	9.5	-378.2	-256.0
531	13.2	-370.8	-252.8
532	16.8	-363.2	-249.6
533	20.5	-355.6	-246.4
534	24.3	-347.9	-243.1
535	28.1	-340.0	-239.8
536	31.9	-332.1	-236.4
537	35.8	-324.0	-233.1
538	39.8	-315.8	-229.6
539	43.9	-307.5	-226.2
540	48.2	-299.1	-222.7
541	52.9	-290.5	-219.2
542	58.6	-281.8	-215.6
543	73.3	-273.0	-212.0
544	52.2	-264.0	-208.4
545	62.6	-255.0	-204.7
546	68.2	-245.7	-201.0
547	73.0	-236.4	-197.3
548	77.6	-226.8	-193.5
549	82.0	-217.2	-189.6
550	86.4	-207.4	-185.8
551	90.9	-197.4	-181.9
552	95.3	-187.3	-177.9
553	99.7	-177.0	-173.9
554	104.2	-166.6	-169.9
555	108.7	-156.0	-165.8
556	113.3	-145.2	-161.7
557	117.9	-134.2	-157.6
558	122.5	-123.1	-153.4
559	127.1	-111.8	-149.1
560	131.8	-100.3	-144.8
561	136.5	-88.6	-140.5
562	141.3	-76.7	-136.1
563	146.1	-64.6	-131.7
564	151.0	-52.3	-127.2
565	155.9	-39.8	-122.7
566	160.8	-27.1	-118.2
567	165.8	-14.1	-113.6
568	170.9	-1.0	-108.9
569	176.0	12.4	-104.2
570	181.1	26.1	-99.4
571	186.3	39.9	-94.6
572	191.5	54.1	-89.8
573	196.8	68.5	-84.9
574	202.1	83.1	-79.9
575	207.5	98.0	-74.9
576	212.9	113.2	-69.8
577	218.4	128.7	-64.7
578	223.9	144.4	-59.5
579	229.5	160.5	-54.3
580	235.1	176.8	-49.0
581	240.8	193.5	-43.7
582	246.5	210.5	-38.3
583	252.3	227.9	-32.8
584	258.2	245.5	-27.3
585	264.1	263.6	-21.7
586	270.0	282.0	-16.1
587	276.1	300.7	-10.4
588	282.1	319.9	-4.6
589	288.3	339.4	1.2
590	294.5	359.4	7.1
591	300.7	379.7	13.0
592	307.0	400.5	19.0
593	313.4	421.8	25.1
594	319.9	443.5	31.3
595	326.4	465.6	37.5
596	332.9	488.3	43.8
597	339.6	511.4	50.1
598	346.3	535.1	56.5
599	353.0	559.4	63.0
600	359.9	584.1	69.6
601	366.8	609.5	76.2
602	373.7	635.4	82.9
603	380.8	662.0	89.7
604	387.9	689.2	96.6
605	395.1	717.0	103.5
606	402.3	745.6	110.6
607	409.6	774.8	117.7
608	417.0	804.8	124.8
609	424.5	835.5	132.1
610	432.1	867.0	139.5
611	439.7	899.4	146.9
612	447.4	932.5	154.4
613	455.2	966.6	162.0
614	463.1	1001.6	169.7
615	471.0	1037.5	177.5
616	479.0	1074.5	185.4
617	487.2	1112.4	193.3
618	495.4	1151.5	201.4
619	503.6	1191.6	209.6
620	512.0	1233.0	217.8
621	520.5	1275.5	226.2
622	529.0	1319.4	234.6
623	537.7	1364.5	243.2
624	546.4	1411.1	251.8
625	555.3	1459.1	260.6
626	564.2	1508.7	269.4
627	573.2	1559.8	278.4
628	582.3	1612.6	287.5
629	591.5	1667.2	296.7
630	600.9	1723.7	306.0
631	610.3	1782.0	315.4
632	619.8	1842.5	325.0
633	629.4	1905.0	334.6
634	639.2	1969.9	344.4
635	649.0	2037.1	354.3
636	659.0	2106.9	364.3
637	669.0	2179.3	374.5
638	679.2	2254.6	384.8
639	689.5	2332.9	395.2
640	699.9	2414.3	405.8
641	710.5	2499.1	416.4
642	721.1	2587.5	427.3
643	731.9	2679.7	438.2
644	742.8	2775.9	449.3
645	753.8	2876.5	460.6
646	765.0	2981.7	472.0
647	776.3	3091.9	483.6
648	787.7	3207.4	495.3
649	799.2	3328.6	507.1
650	810.9	3455.9	519.2
651	822.7	3589.8	531.4
652	834.7	3730.9	543.7
653	846.8	3879.7	556.3
654	859.1	4036.9	569.0
655	871.5	4203.2	581.8
656	884.0	4379.4	594.9
657	896.7	4566.4	608.1
658	909.6	4765.2	621.5
659	922.6	4977.0	635.2
660	935.8	5203.1	649.0
661	949.1	5445.1	663.0
662	962.7	5704.5	677.2
663	976.3	5983.5	691.6
664	990.2	6284.2	706.2
665	1004.2	6609.3	721.0
666	1018.5	6962.0	736.1
667	1032.8	7345.7	751.4
668	1047.4	7765.0	766.9
669	1062.2	8224.8	782.6
670	1077.2	8731.4	798.6
671	1092.3	9292.3	814.8
672	1107.7	9916.6	831.3
673	1123.2	10616.0	848.0
674	1139.0	11404.6	865.0
675	1155.0	12300.7	882.2
676	1171.2	13327.9	899.7
677	1187.6	14517.0	917.5
678	1204.2	15910.0	935.6
679	1221.1	17563.9	953.9
680	1238.2	19559.8	972.6
681	1255.6	22015.2	991.6
682	1273.1	25110.3	1010.8
683	1291.0	29133.1	1030.4
684	1309.0	34571.2	1050.3
685	1327.4	42332.6	1070.6
686	1346.0	54312.9	1091.1
687	1364.8	75232.7	1112.1
688	1384.0	121050.5	1133.4
689	1403.4	301529.4	1155.0
690	1423.1	-647677.4	1177.0
691	1443.1	-158180.7	1199.5
692	1463.4	-90745.7	1222.3
693	1483.9	-63940.9	1245.5
694	1504.8	-49546.9	1269.1
695	1526.1	-40565.5	1293.1
696	1547.6	-34427.1	1317.6
697	1569.5	-29965.7	1342.6
698	1591.7	-26576.9	1368.0
699	1614.2	-23915.0	1393.8
700	1637.1	-21769.9	1420.2
701	1660.4	-20003.5	1447.0
702	1684.0	-18523.7	1474.4
703	1708.0	-17266.6	1502.3
704	1732.4	-16185.0	1530.7
705	1757.2	-15244.6	1559.7
706	1782.4	-14419.5	1589.3
707	1808.0	-13689.8	1619.4
708	1834.1	-13039.8	1650.2
709	1860.5	-12457.1	1681.6
710	1887.4	-11931.8	1713.6
711	1914.8	-11455.8	1746.3
712	1942.7	-11022.5	1779.7
713	1971.0	-10626.4	1813.8
714	1999.8	-10262.9	1848.6
715	2029.1	-9928.2	1884.2
716	2059.0	-9619.0	1920.5
717	2089.3	-9332.4	1957.6
718	2120.2	-9066.0	1995.6
719	2151.7	-8817.9	2034.4
720	2183.7	-8586.2	2074.1
721	2216.4	-8369.3	2114.7
722	2249.6	-8165.8	2156.3
723	2283.5	-7974.6	2198.8
724	2318.0	-7794.6	2242.3
725	2353.1	-7624.7	2286.9
726	2389.0	-7464.3	2332.5
727	2425.5	-7312.5	2379.3
728	2462.7	-7168.6	2427.3
729	2500.7	-7032.0	2476.4
730	2539.5	-6902.3	2526.8
731	2579.0	-6778.8	2578.5
732	2619.3	-6661.2	2631.5
733	2660.4	-6549.0	2685.9
734	2702.4	-6442.0	2741.8
735	2745.3	-6339.6	2799.2
736	2789.1	-6241.8	2858.2
737	2833.8	-6148.0	2918.8
738	2879.5	-6058.2	2981.2
739	2926.2	-5972.0	3045.3
740	2973.9	-5889.2	3111.2
741	3022.7	-5809.7	3179.1
742	3072.5	-5733.3	3249.1
743	3123.5	-5659.7	3321.1
744	3175.7	-5588.9	3395.4
745	3229.1	-5520.6	3471.9
746	3283.7	-5454.8	3550.9
747	3339.7	-5391.3	3632.5
748	3396.9	-5329.9	3716.7
749	3455.6	-5270.7	3803.6
750	3515.7	-5213.4	3893.6
751	3577.4	-5158.0	3986.6
752	3640.5	-5104.4	4082.8
753	3705.3	-5052.5	4182.5
754	3771.8	-5002.3	4285.7
755	3840.0	-4953.5	4392.8
756	3910.0	-4906.3	4503.8
757	3981.8	-4860.5	4619.1
758	4055.7	-4816.0	4738.9
759	4131.6	-4772.8	4863.4
760	4209.6	-4730.9	4992.9
761	4289.8	-4690.1	5127.8
762	4372.3	-4650.5	5268.4
763	4457.2	-4612.0	5415.0
764	4544.6	-4574.5	5568.0
765	4634.7	-4538.1	5727.9
766	4727.4	-4502.5	5895.1
767	4823.1	-4468.0	6070.2
768	4921.8	-4434.3	6253.7
769	5023.5	-4401.4	6446.3
770	5128.7	-4369.4	6648.5
771	5237.2	-4338.2	6861.2
772	5349.4	-4307.8	7085.3
773	5465.4	-4278.1	7321.5
774	5585.4	-4249.1	7571.0
775	5709.6	-4220.8	7834.9
776	5838.2	-4193.2	8114.4
777	5971.6	-4166.2	8411.1
778	6109.9	-4139.8	8726.4
779	6253.4	-4114.0	9062.3
780	6402.4	-4088.8	9420.9
781	6557.3	-4064.2	9804.4
782	6718.4	-4040.1	10215.5
783	6886.1	-4016.5	10657.5
784	7060.7	-3993.4	11133.8
785	7242.8	-3970.8	11648.6
786	7432.8	-3948.7	12206.9
787	7631.2	-3927.1	12814.2
788	7838.6	-3905.9	13477.4
789	8055.7	-3885.1	14204.6
790	8283.1	-3864.8	15005.4
791	8521.6	-3844.9	15891.6
792	8771.9	-3825.3	16877.8
793	9035.1	-3806.2	17981.6
794	9312.1	-3787.4	19225.7
795	9604.1	-3769.0	20638.4
796	9912.1	-3750.9	22256.6
797	10237.8	-3733.2	24128.4
798	10582.5	-3715.8	26318.8
799	10948.1	-3698.8	28916.5
800	11336.4	-3682.0	32046.6
801	11749.7	-3665.6	35891.5
802	12190.3	-3649.4	40727.6
803	12661.3	-3633.6	46995.0
804	13165.7	-3618.0	55439.1
805	13707.2	-3602.7	67432.2
806	14290.2	-3587.7	85807.0
807	14919.5	-3572.9	117501.8
808	15600.9	-3558.4	185235.1
809	16341.2	-3544.2	431458.4
810	17148.3	-3530.1	-1365372.0
811	18031.6	-3516.4	-266506.8
812	19002.6	-3502.8	-148318.5
813	20075.0	-3489.5	-103063.1
814	21265.2	-3476.4	-79149.6
815	22594.2	-3463.5	-64361.8
816	24087.5	-3450.8	-54313.2
817	25777.6	-3438.3	-47040.1
818	27706.2	-3426.0	-41532.1
819	29927.6	-3414.0	-37216.5
820	32514.0	-3402.1	-33743.7
821	35563.2	-3390.3	-30888.9
822	39211.6	-3378.8	-28500.6
823	43655.0	-3367.5	-26473.2
824	49185.3	-3356.3	-24730.5
825	56256.5	-3345.3	-23216.6
826	65616.8	-3334.4	-21889.1
827	78592.8	-3323.8	-20715.8
828	97778.2	-3313.2	-19671.1
